id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price,stock,sizes
17,Women,Apparel,Dresses,Dresses,Blue,Summer,2012,Casual,Mango Women Blue Floral Maxi Dress,2299,35,"XS,S,M,L,XL"
18,Men,Accessories,Watches,Watches,Black,Year Round,2011,Formal,Fossil Men Black Watch,9999,10,"Free Size"
19,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,W Women Green Cotton Kurta,1699,40,"S,M,L,XL"
20,Men,Apparel,Bottomwear,Track Pants,Grey,Year Round,2012,Sports,Adidas Men Grey Track Pants,1499,70,"S,M,L,XL,XXL"
21,Women,Footwear,Flats,Flats,Pink,Summer,2012,Casual,Bata Women Pink Flats,799,65,"5,6,7,8,9"
22,Men,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Roadster Men Green Tshirt,599,110,"S,M,L,XL"
23,Women,Apparel,Ethnic,Dupattas,Pink,Year Round,2012,Ethnic,Biba Women Pink Dupatta,799,50,"Free Size"
24,Men,Footwear,Sandals,Sandals,Brown,Summer,2012,Casual,Woodland Men Brown Sandals,1999,35,"7,8,9,10,11"
25,Women,Apparel,Bottomwear,Skirts,Black,Fall,2011,Casual,Forever 21 Women Black Skirt,1199,45,"XS,S,M,L"
26,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Manyavar Men Blue Kurta,2199,30,"S,M,L,XL,XXL"
27,Women,Accessories,Handbags,Handbags,Brown,Year Round,2011,Casual,Lavie Women Brown Handbag,2499,20,"Free Size"
28,Men,Apparel,Topwear,Sweaters,Navy Blue,Winter,2011,Casual,United Colors of Benetton Men Navy Sweater,2299,40,"S,M,L,XL"
29,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Only Women Pink Top,999,75,"S,M,L,XL"
30,Men,Footwear,Sports Shoes,Training Shoes,White,Year Round,2012,Sports,Reebok Men White Training Shoes,3499,25,"8,9,10,11"
31,Women,Apparel,Ethnic,Kurta Sets,Blue,Summer,2012,Ethnic,Soch Women Blue Kurta Set,3999,18,"S,M,L,XL"
32,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,H&M Men Blue Denim Shorts,1299,60,"30,32,34,36"
33,Women,Apparel,Dresses,Dresses,Red,Summer,2012,Party,Forever 21 Women Red Party Dress,1999,30,"XS,S,M,L"
34,Men,Accessories,Belts,Belts,Black,Year Round,2011,Formal,Louis Philippe Men Black Belt,899,80,"32,34,36,38,40"
35,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012,Ethnic,Aurelia Women Yellow Kurta,1899,35,"S,M,L,XL"
36,Men,Apparel,Topwear,Jackets,Black,Winter,2011,Casual,Roadster Men Black Jacket,2999,30,"S,M,L,XL"
37,Women,Footwear,Heels,Heels,Black,Year Round,2011,Formal,Metro Women Black Heels,1499,45,"5,6,7,8"
38,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Levis Men White Tshirt,999,95,"S,M,L,XL,XXL"
39,Women,Apparel,Bottomwear,Palazzos,Black,Year Round,2012,Ethnic,Biba Women Black Palazzo,1299,55,"S,M,L,XL"
40,Men,Footwear,Formal Shoes,Formal Shoes,Brown,Year Round,2011,Formal,Clarks Men Brown Formal Shoes,4999,20,"7,8,9,10,11"
41,Women,Apparel,Ethnic,Saree,Blue,Year Round,2012,Ethnic,Sareez Women Blue Designer Saree,4499,12,"Free Size"
42,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Jack & Jones Men Blue Shirt,1799,50,"S,M,L,XL"
43,Women,Accessories,Sunglasses,Sunglasses,Black,Summer,2012,Casual,Ray-Ban Women Black Sunglasses,6999,15,"Free Size"
44,Men,Apparel,Bottomwear,Chinos,Beige,Year Round,2011,Casual,Flying Machine Men Beige Chinos,1899,45,"30,32,34,36"
45,Women,Apparel,Topwear,Tops,Black,Year Round,2011,Casual,Vero Moda Women Black Top,1199,70,"XS,S,M,L,XL"
